Journey Event ID,Journey ID,Event Time Stamp,Latitude,Longitude,Event Type ID,Event Description,Time Elapsed,Distance From Previous Position,Average Speed From Prev Point,Satellite Count,HDOP Value
8605993335,124918632,13 Nov 2021 20:21:48:000,51.58503,-0.2005502,1,RTP_EVT_JOURNEY_START,,,,,
8605993336,124918632,13 Nov 2021 20:22:44:500,51.58315,-0.2025135,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,56.0,249.0,0.185185185,3.0,11.0
8605993337,124918632,13 Nov 2021 20:23:02:500,51.58313,-0.2012358,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,18.0,156.0,15.83333333,4.0,4.400000095
8605993338,124918632,13 Nov 2021 20:23:25:500,51.5822,-0.2009697,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,23.0,156.0,14.43478261,4.0,4.400000095
8605993339,124918632,13 Nov 2021 20:23:55:500,51.58186,-0.2028737,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,30.0,154.0,10.33333333,5.0,2.099999905
8605993340,124918632,13 Nov 2021 20:24:29:500,51.58055,-0.202904,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,34.0,152.0,11.03333333,4.0,2.400000095
8605993341,124918632,13 Nov 2021 20:24:51:500,51.5803,-0.2050538,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,22.0,155.0,15.36363636,5.0,2.099999905
8605993342,124918632,13 Nov 2021 20:25:05:500,51.58081,-0.2070573,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,151.0,22.92857143,6.0,1.299999952
8605993343,124918632,13 Nov 2021 20:25:32:500,51.57998,-0.2085123,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,27.0,156.0,12.37037037,5.0,1.600000024
8605993344,124918632,13 Nov 2021 20:25:57:500,51.5789,-0.2081635,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,25.0,154.0,13.24,7.0,1.299999952
8605993345,124918632,13 Nov 2021 20:26:36:500,51.57774,-0.2069733,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,39.0,155.0,7.846153846,8.0,1.0
8605993346,124918632,13 Nov 2021 20:26:52:500,51.57673,-0.205462,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,16.0,153.0,20.75,8.0,1.0
8605993347,124918632,13 Nov 2021 20:27:27:500,51.57574,-0.2039865,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,35.0,151.0,9.2,8.0,1.0
8605993348,124918632,13 Nov 2021 20:27:44:500,51.57478,-0.2023797,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,17.0,154.0,19.70588235,8.0,1.0
8605993349,124918632,13 Nov 2021 20:28:09:500,51.57387,-0.2007358,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,25.0,152.0,13.0,8.0,1.0
